id;age;gender;race;driving_experience;education;income;credit_score;vehicle_ownership;vehicle_year;married;children;postal_code;annual_mileage;vehicle_type;speeding_violations;DUIs;past_accidents;outcome
517747;65+;male;majority;30y+;university;upper class;0.7961748462456987;TRUE;before 2015;TRUE;TRUE;32765;;sedan;10;2;1;FALSE
24851;16-25;male;majority;0-9y;none;poverty;;FALSE;before 2015;TRUE;FALSE;32765;12000.0;sedan;0;0;0;TRUE
104086;26-39;female;majority;0-9y;university;upper class;0.6805942795073384;TRUE;before 2015;FALSE;TRUE;32765;;sedan;0;0;0;TRUE
240658;16-25;female;majority;0-9y;high school;working class;0.4177139816231188;TRUE;before 2015;FALSE;TRUE;10238;18000.0;sedan;0;0;0;TRUE
484399;16-25;female;majority;0-9y;high school;working class;0.4095135306516067;FALSE;before 2015;FALSE;FALSE;10238;17000.0;sedan;0;0;0;TRUE
912828;16-25;male;majority;0-9y;high school;middle class;0.5532600531952381;TRUE;after 2015;TRUE;TRUE;32765;8000.0;sedan;0;0;0;TRUE
892754;40-64;male;majority;20-29y;none;poverty;0.3309502618581893;TRUE;before 2015;TRUE;TRUE;10238;13000.0;sedan;3;1;1;FALSE
217;16-25;male;majority;0-9y;none;poverty;;FALSE;before 2015;FALSE;FALSE;10238;17000.0;sedan;0;0;0;FALSE
633896;65+;male;majority;30y+;high school;upper class;0.5006306604427161;TRUE;before 2015;TRUE;TRUE;32765;7000.0;sedan;13;2;3;FALSE
193110;26-39;female;majority;10-19y;university;middle class;0.5519701813636283;TRUE;before 2015;TRUE;FALSE;10238;14000.0;sports car;0;0;0;FALSE
98515;40-64;male;majority;10-19y;high school;middle class;0.6269960497386653;TRUE;before 2015;FALSE;FALSE;10238;13000.0;sedan;1;1;0;FALSE
165623;26-39;male;majority;10-19y;none;poverty;0.29479748077199674;TRUE;before 2015;TRUE;FALSE;10238;15000.0;sedan;0;0;1;FALSE
493590;26-39;male;majority;10-19y;university;middle class;0.5519504952618395;FALSE;after 2015;FALSE;FALSE;10238;17000.0;sedan;0;0;1;FALSE
389792;65+;male;majority;0-9y;university;upper class;0.649820471216227;TRUE;after 2015;TRUE;TRUE;32765;9000.0;sedan;0;0;0;TRUE
642614;40-64;male;majority;20-29y;high school;middle class;0.5218044346397632;TRUE;after 2015;TRUE;TRUE;92101;7000.0;sedan;2;0;1;FALSE
951465;65+;female;majority;30y+;university;upper class;0.7012683240604196;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;3;1;1;FALSE
496987;16-25;male;majority;0-9y;none;poverty;0.17124402882132114;TRUE;before 2015;TRUE;TRUE;10238;9000.0;sedan;0;0;0;FALSE
732437;16-25;male;majority;0-9y;none;poverty;0.3184419972124171;TRUE;before 2015;FALSE;TRUE;32765;10000.0;sedan;0;0;0;TRUE
146897;26-39;female;majority;0-9y;high school;middle class;0.6046842696715551;TRUE;before 2015;TRUE;TRUE;21217;11000.0;sedan;0;0;0;TRUE
316173;16-25;male;majority;0-9y;university;working class;0.5049948526440377;FALSE;after 2015;FALSE;FALSE;32765;8000.0;sedan;0;0;0;TRUE
9013;26-39;male;majority;10-19y;high school;working class;0.6251466352816216;TRUE;before 2015;FALSE;TRUE;10238;17000.0;sedan;3;0;2;FALSE
511757;40-64;female;majority;10-19y;none;middle class;;TRUE;before 2015;TRUE;TRUE;10238;11000.0;sedan;2;0;1;FALSE
429947;65+;male;majority;30y+;university;upper class;;FALSE;after 2015;FALSE;TRUE;10238;12000.0;sports car;6;0;5;FALSE
485660;40-64;male;majority;10-19y;university;upper class;0.5781305873212035;TRUE;before 2015;FALSE;TRUE;92101;14000.0;sedan;1;0;1;FALSE
80496;65+;male;majority;30y+;high school;upper class;0.7054542902137054;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;5;1;3;FALSE
478336;40-64;male;majority;20-29y;university;upper class;0.6595254905875941;TRUE;after 2015;FALSE;TRUE;10238;16000.0;sedan;4;0;2;FALSE
10843;40-64;male;majority;20-29y;university;upper class;0.5873836120460223;FALSE;after 2015;TRUE;TRUE;32765;9000.0;sedan;10;2;0;FALSE
397446;16-25;male;majority;0-9y;none;poverty;0.4064824253974476;FALSE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;0;0;TRUE
101678;26-39;female;majority;10-19y;high school;poverty;0.2857471319596469;FALSE;before 2015;FALSE;TRUE;10238;13000.0;sedan;1;0;0;TRUE
231661;40-64;male;majority;20-29y;high school;middle class;0.5022849652731057;FALSE;before 2015;FALSE;FALSE;10238;14000.0;sports car;3;0;4;FALSE
173782;65+;male;majority;20-29y;high school;upper class;0.6256257210210231;TRUE;after 2015;TRUE;TRUE;10238;7000.0;sedan;7;0;5;FALSE
921097;40-64;female;majority;20-29y;university;upper class;;TRUE;after 2015;TRUE;TRUE;92101;11000.0;sedan;3;0;2;FALSE
98839;26-39;female;minority;10-19y;university;working class;0.3931531299744003;TRUE;before 2015;FALSE;TRUE;32765;12000.0;sedan;1;0;0;FALSE
105372;26-39;female;minority;10-19y;none;working class;0.5039497598168121;FALSE;before 2015;FALSE;TRUE;10238;14000.0;sedan;1;0;0;FALSE
888828;40-64;male;majority;20-29y;university;upper class;0.6586274302571438;TRUE;before 2015;TRUE;FALSE;10238;14000.0;sedan;3;0;2;FALSE
37454;26-39;female;majority;0-9y;high school;working class;0.5241464657501199;FALSE;before 2015;FALSE;FALSE;10238;17000.0;sedan;0;0;0;TRUE
370044;65+;male;majority;20-29y;university;upper class;0.5531007570628673;FALSE;after 2015;TRUE;TRUE;32765;7000.0;sedan;9;0;1;FALSE
768282;16-25;female;majority;0-9y;university;working class;0.4475509489142775;FALSE;before 2015;TRUE;TRUE;10238;8000.0;sedan;0;0;0;TRUE
738729;16-25;female;majority;0-9y;none;working class;0.5107331365064207;TRUE;before 2015;TRUE;TRUE;10238;7000.0;sedan;0;0;0;TRUE
437535;26-39;female;majority;10-19y;high school;middle class;;TRUE;after 2015;TRUE;FALSE;10238;15000.0;sedan;0;0;0;FALSE
329536;16-25;female;majority;0-9y;high school;poverty;0.4613735917269193;FALSE;before 2015;FALSE;FALSE;32765;9000.0;sedan;0;0;0;TRUE
328531;40-64;female;majority;20-29y;university;middle class;0.38755694436473176;FALSE;after 2015;FALSE;TRUE;32765;12000.0;sedan;2;0;1;FALSE
123941;40-64;female;majority;20-29y;university;middle class;0.5701572256616224;TRUE;after 2015;TRUE;TRUE;10238;;sedan;0;0;0;FALSE
131881;26-39;male;majority;10-19y;university;working class;0.5501250875743224;TRUE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;1;0;FALSE
839572;40-64;male;majority;20-29y;high school;working class;0.4529442316093683;FALSE;before 2015;TRUE;TRUE;10238;12000.0;sedan;3;0;1;FALSE
171578;26-39;male;majority;10-19y;university;upper class;;TRUE;before 2015;TRUE;TRUE;10238;8000.0;sedan;2;0;1;FALSE
589757;40-64;female;majority;20-29y;high school;upper class;0.5352743096602144;TRUE;before 2015;TRUE;TRUE;92101;7000.0;sedan;2;0;0;FALSE
336859;16-25;female;majority;0-9y;university;middle class;0.6147359485632915;TRUE;before 2015;FALSE;TRUE;10238;15000.0;sedan;0;0;0;TRUE
788111;40-64;female;minority;20-29y;high school;poverty;0.4544471564329259;TRUE;before 2015;TRUE;TRUE;10238;;sedan;1;0;1;FALSE
407453;40-64;female;majority;0-9y;university;upper class;0.6137409183819416;TRUE;before 2015;FALSE;FALSE;10238;;sedan;0;0;0;FALSE
367026;40-64;female;minority;10-19y;high school;working class;0.5326613280250595;TRUE;before 2015;TRUE;TRUE;10238;11000.0;sedan;0;0;0;FALSE
334687;40-64;female;minority;0-9y;university;middle class;0.42772851430193454;TRUE;before 2015;FALSE;FALSE;10238;15000.0;sedan;0;0;0;TRUE
623367;65+;male;majority;20-29y;university;upper class;0.6859457213719147;TRUE;before 2015;TRUE;TRUE;32765;5000.0;sedan;4;1;4;FALSE
688440;65+;male;majority;10-19y;university;upper class;0.6936124267187082;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;2;0;0;FALSE
547974;65+;male;majority;20-29y;high school;upper class;0.5979905963582334;FALSE;before 2015;TRUE;TRUE;10238;12000.0;sedan;2;1;7;TRUE
989064;26-39;male;majority;0-9y;none;poverty;0.33081866649869274;FALSE;after 2015;TRUE;TRUE;10238;12000.0;sedan;0;0;0;TRUE
422816;40-64;male;majority;20-29y;high school;working class;;TRUE;before 2015;FALSE;FALSE;10238;12000.0;sedan;5;0;7;FALSE
307408;26-39;female;minority;10-19y;none;working class;;TRUE;before 2015;FALSE;TRUE;10238;9000.0;sedan;2;0;0;FALSE
675898;16-25;male;majority;0-9y;high school;middle class;0.5083042183803546;TRUE;before 2015;FALSE;TRUE;10238;16000.0;sedan;0;0;0;FALSE
480452;26-39;female;majority;0-9y;university;upper class;0.7641329165005233;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;0;0;0;FALSE
93199;40-64;female;majority;0-9y;university;middle class;0.4775169603837716;TRUE;after 2015;TRUE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
125802;40-64;female;majority;20-29y;university;upper class;0.6812332078486962;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;0;0;1;FALSE
616663;40-64;male;majority;0-9y;university;upper class;0.4671555457007022;TRUE;after 2015;FALSE;FALSE;10238;16000.0;sedan;0;0;0;FALSE
423497;16-25;female;majority;0-9y;high school;working class;0.3941632454999797;TRUE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;0;0;TRUE
492837;40-64;female;majority;10-19y;university;upper class;0.6610607322734078;TRUE;after 2015;TRUE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
422563;40-64;male;majority;20-29y;university;upper class;0.6651879748430346;FALSE;before 2015;FALSE;TRUE;10238;14000.0;sedan;2;0;1;FALSE
185231;16-25;female;majority;0-9y;high school;middle class;0.560770206632082;TRUE;before 2015;FALSE;TRUE;10238;11000.0;sedan;0;0;0;FALSE
949152;26-39;female;majority;10-19y;university;upper class;0.7454327103696547;FALSE;after 2015;FALSE;FALSE;32765;9000.0;sedan;0;0;0;FALSE
859453;26-39;male;majority;10-19y;university;middle class;0.53257435224505;TRUE;before 2015;TRUE;TRUE;10238;13000.0;sedan;1;0;2;FALSE
466578;26-39;female;majority;10-19y;high school;middle class;0.5267473391434415;TRUE;after 2015;FALSE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
998214;16-25;female;minority;0-9y;none;poverty;0.4124517461654282;FALSE;before 2015;FALSE;FALSE;10238;14000.0;sedan;0;0;0;TRUE
828462;40-64;male;majority;20-29y;high school;working class;0.38710714490182974;FALSE;before 2015;FALSE;TRUE;10238;16000.0;sedan;0;0;6;FALSE
511837;65+;male;majority;10-19y;high school;middle class;0.5499938678343249;TRUE;before 2015;TRUE;TRUE;32765;9000.0;sedan;3;1;1;FALSE
554995;16-25;male;majority;0-9y;university;upper class;0.5853420947575604;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sports car;0;0;0;TRUE
680717;65+;male;majority;30y+;none;middle class;0.5987396054343311;TRUE;before 2015;TRUE;TRUE;10238;14000.0;sedan;6;1;3;FALSE
978021;40-64;male;majority;20-29y;university;upper class;0.6026557000791793;TRUE;after 2015;TRUE;TRUE;10238;7000.0;sedan;4;0;6;FALSE
509815;26-39;female;majority;0-9y;high school;working class;0.5114570584803535;TRUE;after 2015;TRUE;TRUE;32765;;sedan;0;0;0;FALSE
6676;40-64;female;majority;20-29y;high school;upper class;0.5586591735288894;FALSE;before 2015;FALSE;TRUE;10238;15000.0;sedan;3;0;2;FALSE
362280;40-64;male;majority;10-19y;high school;working class;0.6284070137170304;FALSE;before 2015;FALSE;FALSE;10238;13000.0;sedan;0;0;0;TRUE
883018;40-64;male;majority;0-9y;high school;working class;0.5057903732571783;TRUE;before 2015;FALSE;TRUE;10238;13000.0;sedan;0;0;0;FALSE
889355;26-39;female;majority;10-19y;university;upper class;0.7268184180645275;TRUE;before 2015;TRUE;TRUE;10238;15000.0;sedan;2;0;0;FALSE
198273;65+;male;majority;20-29y;university;upper class;0.6904423335733175;TRUE;after 2015;TRUE;TRUE;32765;9000.0;sedan;8;0;2;FALSE
197763;40-64;male;majority;20-29y;university;upper class;0.4796771646619314;FALSE;after 2015;TRUE;FALSE;10238;14000.0;sedan;1;0;2;FALSE
55670;26-39;male;majority;10-19y;university;upper class;;TRUE;after 2015;TRUE;TRUE;10238;11000.0;sedan;3;1;0;FALSE
545941;40-64;female;majority;20-29y;none;working class;0.4405592041968235;TRUE;after 2015;TRUE;TRUE;10238;11000.0;sedan;1;0;2;FALSE
814196;16-25;female;majority;0-9y;none;middle class;0.634052597196068;TRUE;before 2015;FALSE;TRUE;32765;;sedan;0;0;0;TRUE
560160;16-25;female;majority;0-9y;high school;poverty;0.4574695879943666;FALSE;before 2015;FALSE;FALSE;10238;;sedan;0;0;0;FALSE
320444;26-39;male;majority;0-9y;none;poverty;0.30864901820049434;FALSE;before 2015;FALSE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
305793;16-25;male;majority;0-9y;high school;poverty;0.2458351852340737;FALSE;before 2015;TRUE;TRUE;10238;11000.0;sedan;0;0;0;TRUE
362190;16-25;male;majority;0-9y;high school;poverty;0.3056465190413162;FALSE;before 2015;FALSE;FALSE;10238;14000.0;sedan;0;0;0;TRUE
62647;26-39;male;majority;10-19y;high school;upper class;0.7440140862681482;TRUE;before 2015;FALSE;FALSE;10238;13000.0;sedan;2;0;1;FALSE
296948;40-64;male;majority;10-19y;university;upper class;0.6704645467899408;TRUE;after 2015;TRUE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
673660;65+;female;majority;30y+;high school;upper class;0.6830407984824192;FALSE;after 2015;TRUE;TRUE;10238;10000.0;sedan;4;1;3;FALSE
945867;16-25;male;majority;0-9y;university;middle class;0.828628569053192;TRUE;before 2015;FALSE;FALSE;10238;13000.0;sedan;0;0;0;TRUE
391880;65+;male;majority;30y+;none;middle class;;TRUE;before 2015;TRUE;TRUE;32765;10000.0;sedan;12;2;2;FALSE
241973;65+;female;majority;30y+;high school;upper class;0.6293380939717407;TRUE;before 2015;TRUE;FALSE;10238;11000.0;sedan;2;0;2;FALSE
429503;16-25;male;majority;0-9y;high school;poverty;0.28372421050714003;FALSE;before 2015;FALSE;TRUE;10238;15000.0;sedan;0;0;0;TRUE
810013;16-25;male;majority;0-9y;university;working class;0.4576486815858435;TRUE;after 2015;FALSE;FALSE;10238;14000.0;sports car;0;0;0;TRUE
663458;16-25;female;majority;0-9y;high school;poverty;0.3049876423937953;FALSE;before 2015;FALSE;FALSE;10238;15000.0;sedan;0;0;0;TRUE
879976;16-25;male;majority;0-9y;high school;working class;0.5517442884135392;FALSE;before 2015;TRUE;TRUE;32765;10000.0;sedan;0;0;0;TRUE
418841;16-25;male;minority;0-9y;none;poverty;0.3186855562451054;TRUE;before 2015;TRUE;FALSE;32765;9000.0;sedan;0;0;0;TRUE
542236;26-39;male;minority;10-19y;none;working class;0.43694419415478103;TRUE;before 2015;FALSE;FALSE;10238;12000.0;sedan;3;0;0;FALSE
937573;40-64;male;majority;10-19y;university;upper class;0.6291939843221722;TRUE;before 2015;TRUE;TRUE;32765;7000.0;sedan;5;0;1;FALSE
670850;16-25;male;majority;0-9y;university;working class;0.4055600158887265;TRUE;before 2015;FALSE;FALSE;10238;17000.0;sedan;0;0;0;TRUE
151252;16-25;male;majority;0-9y;university;middle class;0.6235462115803201;TRUE;before 2015;TRUE;FALSE;10238;11000.0;sedan;0;0;0;FALSE
706349;65+;male;majority;10-19y;university;upper class;0.7270329897821235;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;1;1;2;FALSE
602998;65+;male;majority;20-29y;none;working class;0.42682838887991503;TRUE;before 2015;TRUE;FALSE;10238;14000.0;sedan;3;1;7;FALSE
242772;26-39;female;majority;10-19y;none;middle class;0.5036589704487734;TRUE;before 2015;FALSE;TRUE;10238;10000.0;sedan;1;2;0;FALSE
393449;26-39;female;majority;10-19y;high school;middle class;;FALSE;before 2015;FALSE;FALSE;10238;12000.0;sedan;2;0;0;FALSE
380740;65+;male;majority;30y+;university;upper class;0.7264400018455291;TRUE;after 2015;TRUE;TRUE;10238;7000.0;sedan;2;0;3;FALSE
938115;16-25;female;majority;0-9y;none;poverty;0.24449009312407965;FALSE;before 2015;FALSE;TRUE;32765;;sedan;0;0;0;TRUE
727943;16-25;male;majority;0-9y;university;middle class;0.5757707974509628;TRUE;before 2015;FALSE;FALSE;10238;11000.0;sedan;0;0;0;TRUE
766309;16-25;male;majority;0-9y;high school;poverty;;FALSE;before 2015;FALSE;FALSE;10238;10000.0;sports car;0;0;0;TRUE
261229;16-25;male;majority;0-9y;university;working class;0.468671965728324;TRUE;after 2015;FALSE;TRUE;32765;9000.0;sedan;0;0;0;TRUE
60866;65+;male;majority;20-29y;university;upper class;0.6970834558464781;FALSE;after 2015;FALSE;TRUE;10238;13000.0;sedan;3;0;2;FALSE
752797;40-64;female;majority;20-29y;high school;working class;0.5429181079423034;TRUE;before 2015;FALSE;FALSE;10238;15000.0;sedan;1;1;0;FALSE
45002;65+;male;majority;30y+;high school;upper class;0.6722562535141292;TRUE;before 2015;TRUE;TRUE;10238;9000.0;sedan;4;1;2;FALSE
482448;16-25;male;majority;0-9y;none;poverty;0.3864066185703315;FALSE;before 2015;FALSE;FALSE;32765;8000.0;sedan;0;0;0;TRUE
549142;16-25;male;majority;0-9y;university;middle class;0.5512978330713669;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;0;0;0;TRUE
95138;40-64;male;majority;20-29y;high school;middle class;0.5985570254244251;FALSE;after 2015;TRUE;FALSE;10238;14000.0;sedan;4;1;4;FALSE
851152;26-39;female;majority;10-19y;none;working class;;FALSE;before 2015;TRUE;TRUE;10238;;sedan;0;0;1;FALSE
615991;40-64;female;majority;20-29y;high school;upper class;0.5824219946087406;TRUE;after 2015;TRUE;TRUE;10238;11000.0;sedan;2;0;1;FALSE
424820;26-39;female;minority;10-19y;high school;middle class;0.540182723180248;TRUE;before 2015;TRUE;TRUE;10238;;sedan;0;0;1;FALSE
807847;65+;male;majority;20-29y;university;upper class;0.6330139475122963;TRUE;after 2015;FALSE;TRUE;10238;14000.0;sedan;3;1;4;FALSE
758983;40-64;male;majority;20-29y;high school;middle class;0.552204630296896;TRUE;after 2015;TRUE;FALSE;32765;12000.0;sedan;6;0;3;FALSE
987114;26-39;female;majority;0-9y;university;middle class;0.3266816101781183;FALSE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;0;0;TRUE
873457;40-64;male;minority;20-29y;high school;middle class;0.5880825424047316;TRUE;before 2015;TRUE;TRUE;10238;13000.0;sedan;7;1;1;FALSE
699703;65+;female;majority;0-9y;university;upper class;0.7022748020975709;FALSE;before 2015;TRUE;TRUE;92101;10000.0;sedan;0;0;0;TRUE
563342;65+;female;majority;0-9y;university;upper class;0.7266055391975765;TRUE;before 2015;FALSE;TRUE;10238;13000.0;sedan;0;0;0;FALSE
504412;26-39;male;majority;10-19y;university;working class;;FALSE;before 2015;TRUE;TRUE;10238;12000.0;sedan;3;2;3;TRUE
284106;65+;male;majority;30y+;university;upper class;0.73238212135242;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;5;1;5;FALSE
78189;16-25;female;majority;0-9y;none;poverty;0.2012839211827758;TRUE;before 2015;FALSE;FALSE;32765;12000.0;sedan;0;0;0;TRUE
427520;26-39;male;majority;10-19y;university;middle class;0.4641607076311848;FALSE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;1;0;FALSE
689030;40-64;female;majority;20-29y;university;upper class;0.6579677428053038;TRUE;after 2015;TRUE;FALSE;92101;13000.0;sedan;1;0;1;FALSE
966467;65+;male;majority;30y+;university;upper class;0.6002161554309658;TRUE;before 2015;TRUE;TRUE;10238;13000.0;sedan;5;2;4;FALSE
288712;65+;male;majority;30y+;university;upper class;0.6663760181644964;TRUE;after 2015;TRUE;TRUE;10238;12000.0;sedan;3;0;7;FALSE
228114;26-39;male;majority;0-9y;high school;working class;0.4031472802313768;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;0;0;0;FALSE
63715;65+;male;majority;20-29y;university;upper class;0.4169350441301069;TRUE;before 2015;FALSE;TRUE;10238;13000.0;sedan;5;1;5;FALSE
624077;65+;female;majority;30y+;none;upper class;0.5948797136778915;TRUE;before 2015;TRUE;TRUE;32765;8000.0;sports car;10;0;1;FALSE
726352;26-39;male;minority;10-19y;none;poverty;0.38042650346206697;FALSE;before 2015;TRUE;TRUE;10238;16000.0;sedan;1;0;1;FALSE
150072;16-25;female;majority;0-9y;none;poverty;;FALSE;before 2015;FALSE;FALSE;21217;14000.0;sedan;0;0;0;TRUE
792396;65+;female;majority;30y+;university;upper class;0.680617632406099;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;1;2;2;FALSE
768933;40-64;male;minority;0-9y;high school;working class;0.35595046999386937;TRUE;before 2015;FALSE;TRUE;10238;16000.0;sedan;0;0;0;TRUE
452356;40-64;female;majority;10-19y;none;middle class;;TRUE;before 2015;FALSE;TRUE;32765;10000.0;sedan;2;0;0;FALSE
849811;65+;female;minority;30y+;high school;upper class;0.587831426389767;TRUE;after 2015;TRUE;FALSE;32765;;sports car;3;0;1;FALSE
579336;65+;female;majority;10-19y;university;upper class;0.5733880426029547;TRUE;after 2015;TRUE;TRUE;10238;10000.0;sedan;0;0;2;FALSE
648922;16-25;male;majority;0-9y;university;middle class;0.29640628282378056;TRUE;before 2015;FALSE;FALSE;10238;13000.0;sedan;0;0;0;TRUE
47909;65+;male;majority;10-19y;university;upper class;0.4295096986208441;TRUE;before 2015;TRUE;TRUE;10238;10000.0;sedan;1;0;4;FALSE
619577;65+;female;majority;30y+;university;upper class;0.6885687186194461;TRUE;after 2015;FALSE;TRUE;92101;11000.0;sedan;2;0;0;FALSE
212678;65+;female;majority;20-29y;university;upper class;0.700017431968704;TRUE;after 2015;FALSE;TRUE;32765;13000.0;sedan;1;0;1;FALSE
579720;26-39;male;majority;10-19y;university;working class;0.4495886310379405;FALSE;before 2015;FALSE;TRUE;10238;;sports car;0;0;1;TRUE
995884;40-64;female;majority;20-29y;university;upper class;0.6900455818778344;TRUE;after 2015;TRUE;FALSE;10238;11000.0;sedan;2;1;1;FALSE
226326;40-64;female;minority;10-19y;university;working class;0.4960298730510012;TRUE;after 2015;FALSE;FALSE;10238;13000.0;sedan;0;0;1;FALSE
943922;26-39;male;majority;10-19y;university;upper class;0.6563457625165399;FALSE;after 2015;TRUE;TRUE;32765;6000.0;sedan;8;0;0;FALSE
510116;40-64;male;majority;0-9y;high school;middle class;0.4983566259941653;TRUE;after 2015;FALSE;TRUE;10238;12000.0;sedan;0;0;0;FALSE
536546;16-25;female;majority;0-9y;university;middle class;0.5463825431033477;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;0;0;0;FALSE
75592;40-64;female;majority;10-19y;high school;working class;0.3158628767091658;TRUE;before 2015;FALSE;TRUE;10238;11000.0;sedan;0;0;1;FALSE
487116;26-39;male;majority;10-19y;none;working class;0.5300643171181573;TRUE;before 2015;FALSE;FALSE;10238;;sedan;1;0;2;TRUE
936820;26-39;female;majority;10-19y;high school;working class;0.35783917207114435;TRUE;before 2015;FALSE;TRUE;32765;12000.0;sedan;1;0;0;TRUE
634050;65+;male;majority;10-19y;university;upper class;0.672756052841708;TRUE;after 2015;TRUE;TRUE;10238;9000.0;sedan;1;0;2;FALSE
307397;40-64;male;majority;20-29y;university;upper class;0.7419993760301162;TRUE;after 2015;FALSE;TRUE;10238;;sedan;2;0;2;FALSE
558748;65+;female;majority;30y+;university;upper class;0.6226519789949738;TRUE;after 2015;TRUE;TRUE;10238;11000.0;sedan;1;0;0;FALSE
856630;16-25;female;majority;0-9y;high school;middle class;0.4801406677163008;FALSE;after 2015;FALSE;FALSE;32765;14000.0;sedan;0;0;0;TRUE
200009;65+;male;majority;30y+;university;upper class;0.6787954309829434;TRUE;after 2015;TRUE;TRUE;10238;11000.0;sedan;5;1;3;FALSE
784462;65+;male;majority;30y+;university;upper class;;TRUE;before 2015;TRUE;TRUE;32765;10000.0;sedan;13;1;6;FALSE
792252;40-64;female;majority;20-29y;university;upper class;0.5152467080125883;TRUE;after 2015;FALSE;TRUE;10238;12000.0;sedan;2;0;1;FALSE
462586;26-39;male;majority;10-19y;none;working class;0.4899205986325767;TRUE;before 2015;FALSE;TRUE;10238;13000.0;sedan;3;0;1;FALSE
577965;65+;male;majority;30y+;high school;middle class;0.4219579486132668;TRUE;before 2015;FALSE;TRUE;10238;11000.0;sedan;4;0;6;FALSE
818248;40-64;male;majority;20-29y;university;upper class;0.5843548496662949;TRUE;before 2015;FALSE;FALSE;10238;;sedan;1;0;2;FALSE
491438;16-25;male;majority;0-9y;none;poverty;;FALSE;before 2015;FALSE;FALSE;10238;9000.0;sedan;0;0;0;TRUE
896587;65+;female;majority;30y+;high school;upper class;0.5581569698935803;TRUE;after 2015;FALSE;TRUE;10238;14000.0;sedan;0;0;0;FALSE
431538;16-25;male;majority;0-9y;high school;poverty;0.19414954837432005;FALSE;before 2015;TRUE;FALSE;10238;12000.0;sports car;0;0;0;TRUE
